episodio,puntuacion,votos
1,8.2,13967
2,8.4,4967
3,8.4,2740
4,8.4,1980
5,8.4,1723
6,8.4,1435
7,8.2,1330
8,8.4,1263
9,8.2,1266
10,8.2,4021
11,8.2,2656
12,8.2,977
13,8.2,810
14,8.2,798
15,8.2,786
16,8.4,684
17,8.6,874
18,8.0,749
19,8.8,781
20,8.4,821
21,8.4,593
22,8.4,623
23,8.4,595
24,9.2,728
25,8.4,643
26,9.0,632
27,8.6,496
28,8.6,511
29,8.6,547
30,8.8,925
31,8.4,592
32,8.6,500
33,8.4,485
34,8.6,496
35,8.8,533
36,9.0,511
37,9.4,667
38,8.6,487
39,8.6,421
40,8.6,613
41,8.6,471
42,8.8,447
43,9.0,591
44,9.0,637
45,8.8,612
46,7.8,551
47,7.8,514
48,8.8,503
49,8.8,423
50,8.4,606
51,8.2,488
52,8.6,536
53,8.8,593
54,8.2,385
55,8.0,409
56,8.2,391
57,8.0,374
58,8.2,344
59,8.2,343
60,8.0,510
61,8.6,587
62,8.4,554
63,8.6,511
64,8.6,464
65,8.8,475
66,8.4,439
67,8.8,482
68,8.0,427
69,8.4,440
70,8.4,538
71,8.4,439
72,8.4,452
73,8.4,408
74,8.4,411
75,8.2,453
76,8.4,408
77,8.6,464
78,8.2,419
79,8.6,389
80,8.4,499
81,8.6,412
82,8.6,380
83,8.8,412
84,9.2,405
85,9.0,407
86,9.4,589
87,8.8,380
88,8.8,403
89,8.8,439
90,9.0,703
91,8.8,566
92,8.6,456
93,8.6,412
94,9.0,456
95,9.0,515
96,8.4,393
97,8.4,382
98,8.2,403
99,8.2,401
100,8.0,1609
101,8.0,674
102,8.2,617
103,8.4,702
104,8.4,651
105,8.4,649
106,8.2,628
107,8.2,812
108,8.4,700
109,8.4,682
110,8.4,940
111,8.4,806
112,8.2,836
113,8.4,527
114,8.2,488
115,8.2,635
116,8.6,363
117,8.6,343
118,8.6,321
119,9.0,431
120,8.6,412
121,8.8,333
122,8.8,360
123,8.8,326
124,8.6,297
125,9.2,406
126,9.4,546
127,9.2,385
128,9.0,365
129,9.4,485
130,9.0,581
131,8.6,320
132,8.4,252
133,8.4,270
134,8.6,268
135,8.4,301
136,8.2,249
137,8.2,223
138,8.4,232
139,8.2,216
140,8.2,262
141,8.2,206
142,7.8,218
143,8.4,287
144,8.4,382
145,8.6,348
146,8.8,340
147,8.6,328
148,8.8,313
149,8.6,292
150,8.8,467
151,9.6,557
152,9.2,468
153,8.8,356
154,8.8,337
155,8.6,359
156,8.6,324
157,8.6,302
158,8.6,313
159,8.8,332
160,8.4,365
161,8.4,304
162,8.4,307
163,8.6,309
164,9.0,351
165,8.6,321
166,8.8,353
167,8.6,310
168,8.4,307
169,8.8,310
170,8.8,368
171,8.4,317
172,8.6,313
173,9.0,276
174,9.0,296
175,8.8,322
176,8.8,287
177,8.6,268
178,8.8,291
179,8.8,272
180,9.0,346
181,9.0,280
182,9.4,384
183,9.2,316
184,8.8,289
185,9.0,305
186,8.6,244
187,8.4,271
188,8.6,268
189,9.2,354
190,8.8,300
191,8.8,250
192,9.4,348
193,8.8,329
194,9.2,286
195,9.0,391
196,8.8,263
197,8.8,232
198,8.6,226
199,9.0,247
200,8.6,498
