episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank,n de paginas,votos,rating
1,"['October 20, 1999']",['Junki Takegami'],['Tomoko Yoshida'],['Kazuya Hisada'],['Kōnosuke Uda'],12.4 ,6 ,19.0,55950.0,8.35
2,"['November 17, 1999']",['Michiru Shimada'],['Miyuki Sato'],['Eisaku Inoue'],['Tetsuji Nakamura'],11.7 ,9 ,26.0,30659.0,8.4
3,"['November 24, 1999']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Hidehiko Kadota'],13.3 ,7 ,41.0,11341.0,8.1
4,"['December 8, 1999']",['Junki Takegami'],['Kunihiro Chida'],['Masayuki Takagi'],['Munehisa Sakai'],12.9 ,9 ,55.0,9380.0,8.32
5,"['December 15, 1999']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Junichi Fujise'],13.5 ,8 ,54.0,7031.0,7.65
6,"['December 29, 1999']",['Michiru Shimada'],['Miyuki Sato'],['Takeo Ide'],['Shigeyasu Yamauchi'],12.3 ,1 ,64.0,6633.0,7.77
7,"['December 29, 1999']",['Michiru Shimada'],['Tomoko Yoshida'],['Kazuya Hisada'],['Tetsuji Nakamura'],12.3 ,1 ,58.0,6095.0,7.65
8,"['December 29, 1999']",['Michiru Shimada'],['Kunihiro Chida'],['Kenji Yokoyama'],['Kōnosuke Uda'],12.3 ,1 ,51.0,5800.0,7.85
9,"['January 12, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Hidehiko Kadota'],11.4 ,8 ,29.0,5368.0,7.36
10,"['January 19, 2000']",['Junki Takegami'],['Miyuki Sato'],['Masayuki Takagi'],['Munehisa Sakai'],12.7 ,9 ,33.0,7885.0,7.76
11,"['January 26, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Shigeyasu Yamauchi'],12.1 ,8 ,23.0,6374.0,7.68
12,"['February 2, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Takeo Ide'],['Junichi Fujise'],13.2 ,9 ,23.0,4584.0,7.65
13,"['February 9, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Hidehiko Kadota'],14.7 ,7 ,49.0,4312.0,7.63
14,"['February 16, 2000']",['Junki Takegami'],['Miyuki Sato'],['Eisaku Inoue'],['Yukio Kaizawa'],12.8 ,10 ,34.0,4221.0,7.63
15,"['February 23, 2000']",['Junki Takegami'],['Yuri Sanami'],['Masayuki Takagi'],['Kōnosuke Uda'],14.4 ,6 ,53.0,4151.0,7.55
16,"['March 1, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Noboru Koizumi'],['Munehisa Sakai'],13.9 ,8 ,28.0,4029.0,7.74
17,"['March 8, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Hidehiko Kadota'],14.1 ,9 ,39.0,4486.0,8.2
18,"['March 15, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Tadayoshi Yamamuro'],['Junichi Fujise'],12.2 ,9 ,30.0,4125.0,6.94
19,"['March 22, 2000']",['Junki Takegami'],['Makoto Suwada'],['Eisaku Inoue'],['Kōnosuke Uda'],14.3 ,4 ,13.0,6732.0,8.89
20,"['April 12, 2000']",['Junki Takegami'],['Yuri Sanami'],['Kenji Yokoyama'],['Yukio Kaizawa'],15.4 (One,3 ,24.0,4067.0,7.76
21,"['April 12, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Masayuki Takagi'],['Hidehiko Kadota'],15.4 ,3 ,34.0,3706.0,7.73
22,"['April 26, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kazuya Hisada'],['Yoko Ikeda'],12.2 ,8 ,34.0,3652.0,7.65
23,"['May 3, 2000']",['Junki Takegami'],['Miyuki Sato'],['Noboru Koizumi'],['Munehisa Sakai'],10.6 ,N/A ,33.0,3802.0,7.89
24,"['May 10, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Hidehiko Kadota'],11.9 ,8 ,37.0,7848.0,9.2
25,"['May 17, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Takeo Ide'],['Yuji Endo'],13.7 ,5 ,52.0,3642.0,7.66
26,"['May 24, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Eisaku Inoue'],['Munehisa Sakai'],13.1 ,7 ,60.0,5274.0,8.82
27,"['May 31, 2000']",['Junki Takegami'],['Miyuki Sato'],['Kenji Yokoyama'],['Kōnosuke Uda'],14.2 ,3 ,41.0,3426.0,7.66
28,"['June 7, 2000']",['Junki Takegami'],['Yuri Sanami'],['Masayuki Takagi'],['Junji Shimizu'],12.1 ,9 ,36.0,3405.0,7.84
29,"['June 21, 2000']",['Junki Takegami'],['Iwamitsu Itō'],['Kazuya Hisada'],['Junichi Fujise'],10.6 ,10 ,38.0,3615.0,8.01
30,"['June 28, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Noboru Koizumi'],['Hidehiko Kadota'],13.2 ,6 ,29.0,4815.0,8.48
31,"['July 12, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Yuji Hakamada'],['Yuji Endo'],11.5 ,8 ,24.0,3392.0,7.74
32,"['July 19, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Takeo Ide'],['Munehisa Sakai'],13.1 ,2 ,33.0,3251.0,7.84
33,"['July 19, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Yukio Kaizawa'],13.1 ,2 ,25.0,3355.0,7.89
34,"['July 26, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Junji Shimizu'],12.7 ,5 ,29.0,3342.0,7.58
35,"['August 2, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Masayuki Takagi'],['Hidehiko Kadota'],11.5 ,6 ,16.0,3808.0,8.28
36,"['August 9, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Kazuya Hisada'],['Kōnosuke Uda'],12.2 ,5 ,24.0,5963.0,9.0
37,"['August 16, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Hideaki Naniwa'],['Junichi Fujise'],11.4 ,5 ,26.0,7974.0,9.31
38,"['August 23, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Yuji Hakamada'],['Yuji Endo'],13.6 ,3 ,34.0,3782.0,8.25
39,"['June 30, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kenji Yokoyama'],['Junji Shimizu'],14.4 ,5 ,38.0,3477.0,8.07
40,"['September 6, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Tadayoshi Yamamuro'],['Yoko Ikeda'],13.6 ,8 ,38.0,3610.0,8.1
41,"['September 13, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Munehisa Sakai'],13.6 ,4 ,30.0,3429.0,8.17
42,"['September 27, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Hidehiko Kadota'],15.0 ,2 ,42.0,3374.0,8.11
43,"['September 27, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Junji Shimizu'],15.0 ,2 ,35.0,4646.0,8.74
44,"['October 11, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Kōnosuke Uda'],13.2 ,5 ,17.0,3585.0,8.1
45,"['October 25, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Hideaki Naniwa'],['Yoko Ikeda'],13.6 ,6 ,8.0,3494.0,7.89
46,"['November 1, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Munehisa Sakai'],14.4,6,13.0,3261.0,6.55
47,"['November 8, 2000']",['Junki Takegami'],['Miyuki Sato'],['Kazuo Takigawa'],['Hidehiko Kadota'],13.5,8,17.0,3201.0,6.37
48,"['November 22, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Eisaku Inoue'],['Junichi Fujise'],15.7 ,8 ,5.0,3452.0,8.03
49,"['November 22, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Tadayoshi Yamamuro'],['Yoshihiro Ueda'],15.7 ,5 ,14.0,3592.0,8.09
50,"['November 29, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Katsumi Tokoro'],15.2,5,0.0,3351.0,7.58
51,"['December 6, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Munehisa Sakai'],14.0,6,1.0,2849.0,7.12
52,"['December 13, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Hidehiko Kadota'],14.7 ,5 ,34.0,3400.0,8.35
53,"['January 10, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Hideaki Naniwa'],['Ken Koyama'],14.1 ,6 ,20.0,3924.0,8.55
54,"['January 17, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Kōnosuke Uda'],14.1,8,0.0,2312.0,7.2
55,"['January 24, 2001']",['Junki Takegami'],['Miyuki Sato'],['Masayuki Takagi'],['Harume Kosaka'],15.3,7,5.0,2307.0,6.93
56,"['January 31, 2001']",['Junki Takegami'],['Yuri Sanami'],['Kazuya Hisada'],['Hidehiko Kadota'],14.7,6,0.0,2238.0,6.88
57,"['February 7, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Kazuo Takigawa'],['Yoko Ikeda'],14.6,8,0.0,2199.0,6.76
58,"['February 21, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Tadayoshi Yamamuro'],['Munehisa Sakai'],16.6,5,0.0,2143.0,6.86
59,"['February 21, 2001']",['Junki Takegami'],['Miyuki Sato'],['Yuji Hakamada'],['Junichi Fujise'],16.6,5,0.0,2145.0,7.02
60,"['February 28, 2001']",['Junki Takegami'],['Yuri Sanami'],['Hideaki Naniwa'],['Yoshihiro Ueda'],16.3,4,0.0,2311.0,7.22
61,"['March 7, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Kenji Yokoyama'],['Hidehiko Kadota'],16.0,4,2.0,2604.0,7.75
62,"['March 21, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Kōnosuke Uda'],13.7,6,34.0,2708.0,7.68
63,"['March 21, 2001']",['Michiru Shimada'],['Shōichirō Sugiura'],['Kazuya Hisada'],['Harume Kosaka'],13.7,6,34.0,2641.0,7.71
64,"['April 15, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kazuo Takigawa'],['Yoko Ikeda'],17.2,2,27.0,2510.0,7.78
65,"['April 15, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Tadayoshi Yamamuro'],['Yoshihiro Ueda'],17.2,2,51.0,2745.0,8.3
66,"['April 22, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Yuji Hakamada'],['Hidehiko Kadota'],14.1,6,36.0,2625.0,8.07
67,"['April 29, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.0,4,34.0,2652.0,8.06
68,"['May 13, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kenji Yokoyama'],['Harume Kosaka'],14.6,3,25.0,2420.0,6.85
69,"['May 20, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Masayuki Takagi'],['Munehisa Sakai'],15.8,3,5.0,2436.0,7.09
70,"['May 27, 2001']",['Junki Takegami'],['Shōichirō Sugiura'],['Kazuya Hisada'],['Yuji Endo'],13.1,6,19.0,2511.0,7.38
71,"['June 3, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Takeo Ide'],['Hidehiko Kadota'],14.7,3,23.0,2422.0,7.5
72,"['June 17, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Yoko Ikeda'],12.5,8,21.0,2387.0,7.43
73,"['June 24, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Yuji Hakamada'],['Yoshihiro Ueda'],15.3,4,34.0,2337.0,7.57
