episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank
1,20 de octubre de 1999,Junki Takegami,Tomoko Yoshida,Kazuya Hisada,Kōnosuke Uda,12.4%,6
2,17 de noviembre de 1999,Michiru Shimada,Miyuki Sato,Eisaku Inoue,Tetsuji Nakamura,11.7%,9
3,24 de noviembre de 1999,Michiru Shimada,Tomoko Yoshida,Kenji Yokoyama,Hidehiko Kadota,13.3%,7
4,8 de diciembre de 1999,Junki Takegami,Kunihiro Senda,Masayuki Takagi,Munehisa Sakai,12.9%,9
5,15 de diciembre 1999,Junki Takegami,Tomoko Yoshida,Yuji Hakamada,Junichi Fujise‎,13.5%,8
6,29 de diciembre de 1999,Michiru Shimada,Miyuki Sato,Takeo Ide,Shigeyasu Yamauchi,12.3%,1
7,29 de diciembre de 1999,Michiru  Shimada,Tomoko Yoshida,Kazuya Hisada,Tetsuji Nakamura,12.3%,1
8,29 de diciembre de 1999,Michiru Shimada,Kunihiro Senda,Kenji Yokoyama,Kōnosuke Uda,12.3%,1
9,12 de enero del 2000,Junki Takegami,Tomoko Yoshida,Eisaku Inoue,Hidehiko Kadota,11.4%,8
10,19 de enero del 2000,Junki Takegami,Miyuki Sato,Masayuki Takagi,Munehisa Sakai,12.7%,9
11,26 de enero del 2000,Junki Takegami,Tomoko Yoshida,Yuji Hakamada,Shigeyasu Yamauchi,12.1%,9
12,2 de febrero del 2000,Junki Takegami,Kunihiro Senda,Takeo Ide,Junichi Fujise,13.2%,9
13,9 de febrero del 2000,Junki Takegami,Tomoko Yoshida,Kenji Yokoyama,Hidehiko Kadota,14.7%,7
14,16 de febrero del 2000,Junki Takegami,Miyuki Sato,Eisaku Inoue,Yukio Kaizawa,12.8%,10
15,23 de febrero del 2000,Junki Takegami,Yuri Sanami,Masayuki Takagi,Kōnosuke Uda,14.4%,6
16,1 de marzo del 2000,Junki Takegami,Kunihiro Senda,Noboru Koizumi,Munehisa Sakai,13.9%,8
17,8 de marzo del 2000,Junki Takegami,Tomoko Yoshida,Yuji Hakamada,Hidehiko Kadota,14.1%,9
18,15 de marzo del 2000,Michiru Shimada,Miyuki Sato,Tadayoshi Yamamuro,Junichi Fujise,12.0%,9
19,22 de marzo del 2000,Junki Takegami,Makoto Suwada,Eisaku Inoue,Kōnosuke Uda,14.3%,4
20,12 de abril del 2000,Junki Takegami,Yuri Sanami,Kenji Yokoyama,Yukio Kaizawa,15.0%,3
21,12 de abril del 2000,Junki Takegami,Kunihiro Senda,Masayuki Takagi,Hidehiko Kadota,15.0%,3
22,26 de abril del 2000,Junki Takegami,Tomoko Yoshida,Kazuya Hisada,Yoko Ikeda,12.2%,8
23,3 de mayo del 2000,Junki Takegami,Miyuki Sato,Noboru Koizumi,Munehisa Sakai,10.6%,N/A
24,10 de mayo del 2000,Michiru Shimada,Yuri Sanami,Yuji Hakamada,Hidehiko Kadota,11.9%,8
25,17 de mayo del 2000,Michiru Shimada,Kunihiro Senda,Takeo Ide,Yuji Endo,13.7%,5
26,24 de mayo del 2000,Michiru Shimada,Tomoko Yoshida,Eisaku Inoue,Munehisa Sakai,13.1%,7
27,31 de mayo del 2000,Junki Takegami,Miyuki Sato,Kenji Yokoyama,Kōnosuke Uda,14.2%,3
28,7 de junio del 2000,Junki Takegami,Yuri Sanami,Masayuki Takagi,Junji Shimizu,12.1%,9
29,21 de junio del 2000,Junki Takegami,Iwamitsu Itō,Kazuya Hisada,Junichi Fujise,10.6%,10
30,28 de junio del 2000,Junki Takegami,Tomoko Yoshida,Noboru Koizumi,Hidehiko Kadota,13.2%,6
31,12 de julio 2000,Michiru Shimada,Miyuki Sato,Yuji Hakamada,Yuji Endo,11.5%,8
32,19 de julio del 2000,Michiru Shimada,Yuri Sanami,Takeo Ide,Munehisa Sakai,13.1%,2
33,19 de julio del 2000,Michiru Shimada,Kunihiro Senda,Eisaku Inoue,Yukio Kaizawa,13.1%,2
34,26 de julio del 2000,Michiru Shimada,Tomoko Yoshida,Kenji Yokoyama,Junji Shimizu,12.7%,5
35,2 de agosto del 2000,Michiru Shimada,Kunihiro Senda,Masayuki Takagi,Hidehiko Kadota,11.5%,6
36,9 de agosto del 2000,Michiru Shimada,Yuri Sanami,Kazuya Hisada,Kōnosuke Uda,12.2%,5
37,16 de agosto del 2000,Michiru Shimada,Miyuki Sato,Hideaki Naniwa,Junichi Fujise,11.4%,5
38,23 de agosto del 2000,Michiru Shimada,Tomoko Yoshida,Yuji Hakamada,Yuji Endo,13.6%,3
39,30 de agosto del 2000,Michiru Shimada,Miyuki Sato,Kenji Yokoyama,Junji Shimizu,14.4%,5
40,6 de septiembre 2000,Michiru Shimada,Yuri Sanami,Tadayoshi Yamamuro,Yoko Ikeda,13.6%,8
41,13 de septiembre 2000,Michiru Shimada,Kunihiro Senda,Eisaku Inoue,Munehisa Sakai,13.6%,4
42,27 de septiembre del 2000,Michiru Shimada,Tomoko Yoshida,Masayuki Takagi,Hidehiko Kadota,15.0%,2
43,27 de septiembre de 2000,Michiru Shimada,Miyuki Sato,Kazuya Hisada,Junji Shimizu,15.0%,2
44,11 de octubre del 2000,Michiru Shimada,Yuri Sanami,Yuji Hakamada,Kōnosuke Uda,13.2%,5
45,25 de octubre del 2000,Junki Takegami,Kunihiro Senda,Hideaki Naniwa,Yoko Ikeda,13.6%,6
46,1 de noviembre del 2000,Junki Takegami,Tomoko Yoshida,Kenji Yokoyama,Munehisa Sakai,14.4%,6
47,8 de noviembre 2000,Junki Takegami,Miyuki Sato,Kazuo Takigawa,Hidehiko Kadota,13.5%,8
48,22 de noviembre del 2000,Michiru Shimada,Yuri Sanami,Eisaku Inoue,Junichi Fujise,15.7%,5
49,22 de noviembre del 2000,Michiru Shimada,Kunihiro Senda,Tadayoshi Yamamuro,Yoshihiro Ueda,15.7%,5
50,29 de noviembre del 2000,Michiru Shimada,Tomoko Yoshida,Masayuki Takagi,Katsumi Tokoro,15.2%,5
51,6 de diciembre 2000,Michiru Shimada,Miyuki Sato,Kazuya Hisada,Munehisa Sakai,14.0%,6
52,13 de diciembre 2000,Michiru Shimada,Yuri Sanami,Yuji Hakamada,Hidehiko Kadota,14.7%,5
53,10 de enero 2001,Michiru Shimada,Kunihiro Senda,Hideaki Naniwa,Ken Koyama,14.1%,6
54,17 de enero de 2001,Junki Takegami,Tomoko Yoshida,Kenji Yokoyama,Kōnosuke Uda,14.1%,8
55,24 de enero 2001,Junki Takegami,Miyuki Sato,Masayuki Takagi,Harume Kosaka,15.3%,7
56,31 de enero 2001,Junki Takegami,Yuri Sanami,Kazuya Hisada,Hidehiko Kadota,14.7%,6
57,7 de febrero 2001,Junki Takegami,Kunihiro Senda,Kazuo Takigawa,Yoko Ikeda,14.6%,8
58,21 de febrero de 2001,Junki Takegami,Tomoko Yoshida,Tadayoshi Yamamuro,Munehisa Sakai,16.6%,5
59,21 de febrero de 2001,Junki Takegami,Miyuki Sato,Yuji Hakamada,Junichi Fujise,16.6%,5
60,28 de febrero 2001,Junki Takegami,Yuri Sanami,Hideaki Naniwa,Yoshihiro Ueda,16.3%,4
61,7 de marzo 2001,Junki Takegami,Kunihiro Senda,Kenji Yokoyama,Hidehiko Kadota,16.0%,4
62,21 de marzo 2001,Michiru Shimada,Tomoko Yoshida,Masayuki Takagi,Kōnosuke Uda,13.7%,6
63,21 de marzo 2001,Michiru Shimada,Seiichiro Sugiura,Kazuya Hisada,Harume Kosaka,13.7%,6
64,15 de abril 2001,Michiru Shimada,Miyuki Sato,Kazuo Takigawa,Yoko Ikeda,17.2%,2
65,15 de abril 2001,Michiru Shimada,Yuri Sanami,Tadayoshi Yamamuro,Yoshihiro Ueda,17.2%,2
66,22 de abril 2001,Michiru Shimada,Kunihiro Senda,Yuji Hakamada,Hidehiko Kadota,14.1%,6
67,29 de abril 2001,Michiru Shimada,Tomoko Yoshida,Hideaki Naniwa,Kōnosuke Uda,15.0%,4
68,13 de mayo de  2001,Michiru Shimada,Miyuki Sato,Kenji Yokoyama,Harume Kosaka,14.6%,3
