episode,rating,votes
1.0,8.4,41983.0
2.0,8.4,25692.0
3.0,8.0,8601.0
4.0,8.3,7400.0
5.0,7.4,5308.0
6.0,7.6,5198.0
7.0,7.5,4765.0
8.0,7.7,4537.0
9.0,7.1,4102.0
10.0,7.3,3864.0
11.0,7.3,3718.0
12.0,7.5,3607.0
13.0,7.5,3502.0
14.0,7.5,3423.0
15.0,7.4,3365.0
16.0,7.6,3345.0
17.0,8.1,3612.0
18.0,6.7,3376.0
19.0,8.9,5951.0
20.0,7.6,3246.0
21.0,7.6,3113.0
22.0,7.5,3029.0
23.0,7.8,3207.0
24.0,9.2,7120.0
25.0,7.5,2999.0
26.0,8.8,4642.0
27.0,7.5,2930.0
28.0,7.7,2894.0
29.0,7.9,3068.0
30.0,8.4,3890.0
31.0,7.6,2800.0
32.0,7.7,2751.0
33.0,7.8,2870.0
34.0,7.4,2846.0
35.0,8.2,3275.0
36.0,9.0,5452.0
37.0,9.3,7307.0
38.0,8.2,3295.0
39.0,8.0,3056.0
40.0,8.0,2997.0
41.0,8.1,2958.0
42.0,8.0,2927.0
43.0,8.7,4055.0
44.0,7.9,2948.0
45.0,7.7,2882.0
46.0,6.3,2710.0
47.0,6.1,2687.0
48.0,7.9,2949.0
49.0,8.0,3169.0
50.0,7.4,2745.0
51.0,6.9,2361.0
52.0,8.3,2864.0
53.0,8.5,3331.0
54.0,7.0,1927.0
55.0,6.7,1898.0
56.0,6.6,1847.0
57.0,6.5,1825.0
58.0,6.6,1799.0
59.0,6.8,1802.0
60.0,7.0,1801.0
61.0,7.5,2017.0
62.0,7.5,2154.0
63.0,7.5,2130.0
64.0,7.6,2046.0
65.0,8.2,2270.0
66.0,8.0,2186.0
67.0,7.9,2170.0
68.0,6.6,1993.0
69.0,6.8,1996.0
70.0,7.1,1973.0
71.0,7.3,1983.0
72.0,7.2,1935.0
73.0,7.4,1929.0
74.0,7.6,1958.0
75.0,7.5,1920.0
76.0,7.6,1913.0
77.0,7.5,1930.0
78.0,7.2,1917.0
79.0,7.5,1875.0
80.0,7.6,1888.0
81.0,7.5,1850.0
82.0,7.5,1858.0
83.0,8.1,2401.0
84.0,7.9,2019.0
85.0,8.5,2836.0
86.0,9.4,5547.0
87.0,8.1,2266.0
88.0,7.8,1905.0
89.0,7.8,1880.0
90.0,8.9,3767.0
