episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank,n de paginas,rating_imdb,votes_imdb,puntuacion_MAL,votos_MAL
1,"['October 20, 1999']",['Junki Takegami'],['Tomoko Yoshida'],['Kazuya Hisada'],['Kōnosuke Uda'],12.4 ,6 ,19.0,8.4,41983.0,8.2,13967
2,"['November 17, 1999']",['Michiru Shimada'],['Miyuki Sato'],['Eisaku Inoue'],['Tetsuji Nakamura'],11.7 ,9 ,26.0,8.4,25692.0,8.4,4967
3,"['November 24, 1999']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Hidehiko Kadota'],13.3 ,7 ,41.0,8.0,8601.0,8.4,2740
4,"['December 8, 1999']",['Junki Takegami'],['Kunihiro Chida'],['Masayuki Takagi'],['Munehisa Sakai'],12.9 ,9 ,55.0,8.3,7400.0,8.4,1980
5,"['December 15, 1999']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Junichi Fujise'],13.5 ,8 ,54.0,7.4,5308.0,8.4,1723
6,"['December 29, 1999']",['Michiru Shimada'],['Miyuki Sato'],['Takeo Ide'],['Shigeyasu Yamauchi'],12.3 ,1 ,64.0,7.6,5198.0,8.4,1435
7,"['December 29, 1999']",['Michiru Shimada'],['Tomoko Yoshida'],['Kazuya Hisada'],['Tetsuji Nakamura'],12.3 ,1 ,58.0,7.5,4765.0,8.2,1330
8,"['December 29, 1999']",['Michiru Shimada'],['Kunihiro Chida'],['Kenji Yokoyama'],['Kōnosuke Uda'],12.3 ,1 ,51.0,7.7,4537.0,8.4,1263
9,"['January 12, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Hidehiko Kadota'],11.4 ,8 ,29.0,7.1,4102.0,8.2,1266
10,"['January 19, 2000']",['Junki Takegami'],['Miyuki Sato'],['Masayuki Takagi'],['Munehisa Sakai'],12.7 ,9 ,33.0,7.3,3864.0,8.2,4021
11,"['January 26, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Shigeyasu Yamauchi'],12.1 ,8 ,23.0,7.3,3718.0,8.2,2656
12,"['February 2, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Takeo Ide'],['Junichi Fujise'],13.2 ,9 ,23.0,7.5,3607.0,8.2,977
13,"['February 9, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Hidehiko Kadota'],14.7 ,7 ,49.0,7.5,3502.0,8.2,810
14,"['February 16, 2000']",['Junki Takegami'],['Miyuki Sato'],['Eisaku Inoue'],['Yukio Kaizawa'],12.8 ,10 ,34.0,7.5,3423.0,8.2,798
